B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
60,54,85,7,8,5,60,54,85,2,9,4,red
60,70,86,23,6,3,60,70,90,0,24,3,red
78,100,90,10,29,8,71,90,90,1,24,3,blue
60,54,83,6,9,3,63,54,79,1,1,2,blue
82,90,90,3,19,8,78,100,90,10,29,8,red
69,50,80,29,14,4,69,50,79,4,20,5,blue
63,58,86,21,6,3,63,58,84,0,2,3,red
63,64,89,91,28,12,84,64,86,88,7,6,red
63,64,86,0,0,1,76,64,87,6,4,6,red
65,43,76,0,4,1,63,43,76,1,5,2,red
71,64,87,30,36,10,60,64,87,7,1,3,blue
60,64,84,0,0,1,80,64,85,0,0,1,blue
67,58,86,0,66,2,63,58,83,32,12,6,red
58,43,71,1,49,2,65,43,73,11,21,4,blue
60,70,90,0,24,3,65,70,85,0,21,3,blue
50,70,85,1,17,2,69,70,89,2,8,2,blue
63,64,89,0,32,2,60,64,85,23,23,6,blue
73,50,83,0,0,3,69,50,78,42,6,6,red
78,70,85,15,15,8,80,70,86,45,16,7,red
65,58,84,8,8,3,65,58,85,21,23,5,red
65,70,85,0,21,3,80,77,86,69,9,6,red
56,50,77,35,3,5,71,50,82,1,0,2,blue
63,64,85,22,15,6,78,64,85,7,8,2,blue
65,77,86,0,41,1,67,77,89,35,15,7,red
67,43,75,6,20,3,47,43,76,0,4,2,blue
56,50,77,35,3,5,65,50,78,24,13,6,blue
93,100,83,2,14,7,78,100,90,10,29,8,red
71,46,78,17,23,7,69,50,75,5,54,4,red
60,64,85,3,3,3,65,64,85,14,10,4,red
63,58,86,33,19,5,58,58,83,40,39,11,blue
73,43,77,26,19,3,63,43,78,0,50,7,red
58,54,83,44,31,7,73,54,80,39,29,6,red
82,70,86,4,22,8,69,70,89,2,16,6,blue
71,54,82,9,37,3,58,58,85,4,30,2,red
60,64,84,23,24,4,56,64,89,15,13,5,blue
65,50,79,10,0,2,56,46,77,5,1,3,blue
60,64,84,0,0,1,89,64,85,17,10,6,red
76,54,80,10,7,5,71,58,84,11,24,8,red
60,50,82,1,14,3,71,50,78,21,5,3,red
52,54,84,38,30,4,60,54,80,0,18,4,red
73,77,87,11,11,6,82,77,85,0,0,1,blue
71,77,83,9,7,7,67,77,89,35,15,7,blue
65,64,83,4,3,2,45,58,85,13,7,5,red
73,50,78,5,4,3,65,50,79,2,8,6,red
67,58,84,8,13,4,60,58,80,0,5,2,red
67,43,77,3,7,3,60,43,77,14,6,2,red
63,43,79,2,25,5,60,43,76,55,38,5,red
63,77,89,18,11,3,71,77,83,9,7,7,red
76,54,79,43,7,5,56,54,80,7,9,4,red
69,54,80,35,20,5,69,54,83,89,29,7,blue
67,54,84,37,12,8,58,54,82,0,2,3,blue
69,46,78,10,19,5,56,46,77,22,37,7,red
71,64,86,17,26,4,73,64,79,12,26,5,blue
54,43,76,10,11,4,82,43,75,1,1,2,red
71,77,84,1,23,3,50,77,86,2,17,3,blue
73,50,77,28,4,5,67,46,77,29,7,6,red
54,64,89,0,18,3,63,64,86,76,13,6,blue
50,43,71,0,77,1,73,46,79,15,33,6,blue
67,64,83,2,12,2,69,64,85,13,18,7,red
71,58,84,11,24,8,67,58,84,7,46,9,blue
69,46,78,10,19,5,63,50,84,0,0,1,red
71,58,85,20,0,2,69,64,84,29,50,10,red
54,64,87,0,3,3,82,64,86,0,0,1,blue
73,58,84,2,33,2,52,54,84,20,9,2,red
67,70,87,20,15,11,69,70,87,46,21,5,blue
71,77,85,0,20,1,67,77,89,35,15,7,blue
69,46,76,100,28,8,78,50,82,21,30,8,red
65,58,89,3,17,6,56,58,85,41,9,2,blue
52,58,83,14,10,3,56,58,80,2,16,3,blue
71,54,82,33,16,4,67,54,79,0,0,1,blue
67,58,82,41,12,7,82,58,82,26,38,10,red
78,70,85,15,15,8,76,70,86,23,15,7,red
60,77,87,0,44,1,58,77,89,2,26,4,blue
73,50,77,13,39,3,67,50,78,42,55,6,red
78,43,78,22,4,2,50,43,77,2,10,2,red
73,92,86,0,11,2,65,100,87,30,13,5,red
82,58,80,3,0,3,82,58,80,0,6,4,red
58,70,86,6,10,4,80,70,86,4,0,2,blue
63,58,82,6,11,6,69,64,84,29,50,10,blue
80,77,86,5,18,5,71,77,87,11,12,7,red
63,64,84,0,6,3,71,64,83,2,9,2,blue
65,70,87,0,19,9,73,70,86,5,13,4,red
60,50,82,1,14,3,71,50,79,15,6,4,blue
63,70,83,18,4,4,60,70,89,8,14,5,red
71,58,80,26,15,9,60,58,82,5,7,7,red
67,54,80,24,15,7,60,54,80,0,18,4,red
76,64,85,3,27,9,60,64,84,5,8,5,red
56,58,83,29,9,4,69,58,80,2,8,4,blue
65,58,83,7,21,4,82,58,83,26,10,3,blue
80,77,87,37,26,7,71,77,87,11,12,7,red
52,43,77,0,21,1,76,43,77,50,9,5,red
65,50,83,8,12,3,50,46,78,18,33,7,red
73,70,85,6,13,4,80,64,84,56,32,7,red
63,43,78,0,50,7,63,43,72,46,8,4,blue
73,64,84,29,2,4,63,64,86,76,13,6,red
63,58,82,26,15,4,63,64,84,66,27,9,red
58,58,83,1,29,5,71,58,84,28,10,3,red
60,54,84,12,19,4,71,64,86,33,57,13,red
69,58,82,0,7,3,69,58,80,8,45,10,red
65,50,72,28,13,2,65,50,78,41,26,7,red
52,50,79,50,13,6,65,46,82,0,0,1,blue
71,64,85,0,2,1,63,64,84,66,27,9,red
80,50,78,2,13,2,78,50,80,0,8,3,red
58,50,77,11,3,3,84,50,78,1,27,2,red
93,100,83,2,14,7,73,90,90,43,11,7,red
65,54,82,14,9,4,60,54,82,0,0,1,blue
71,64,83,25,2,5,82,64,84,4,17,4,red
78,54,82,25,6,5,58,50,80,5,4,3,blue
63,54,82,5,24,4,52,54,84,38,30,4,blue
71,94,91,0,10,4,76,88,89,11,9,2,red
82,77,84,35,21,7,71,77,87,11,12,7,blue
52,54,83,12,28,4,65,54,82,14,9,4,blue
60,94,93,2,7,2,69,100,89,7,17,3,blue
60,54,80,33,10,3,60,54,84,13,7,3,draw
58,77,89,24,17,4,73,77,87,11,11,6,blue
56,54,80,7,9,4,65,54,84,10,10,7,no contest
69,64,84,13,17,3,80,64,86,4,25,5,blue
60,54,83,10,28,8,76,50,80,11,6,6,red
73,54,80,39,29,6,65,54,79,4,21,4,red
67,50,79,14,10,5,80,46,76,13,20,6,red
60,58,82,3,20,8,71,58,82,51,30,5,blue
69,50,78,8,11,4,65,50,79,2,8,6,red
71,64,83,25,2,5,63,64,83,0,0,1,blue
69,46,76,0,11,1,52,50,79,50,13,6,red
69,50,75,5,54,4,65,46,75,69,68,7,red
63,77,90,2,20,2,54,77,89,2,1,2,red
67,54,80,28,4,4,69,54,85,0,10,3,red
54,46,82,56,35,9,65,46,77,31,17,3,blue
71,70,85,13,6,2,82,70,86,3,12,5,red
78,100,91,1,5,2,71,100,87,0,12,2,draw
76,58,83,0,0,1,67,58,80,33,18,8,red
80,77,86,69,9,6,54,77,89,3,17,3,red
63,43,76,1,5,2,54,43,75,2,3,3,blue
58,64,85,8,6,4,89,64,85,17,10,6,blue
58,58,83,1,29,5,69,58,80,8,45,10,blue
63,58,83,1,31,7,82,58,82,26,38,10,red
47,50,79,1,7,2,54,43,75,37,28,7,red
60,70,86,8,23,2,60,70,89,8,14,5,blue
52,50,80,11,16,4,82,50,78,67,24,8,blue
60,46,77,1,3,2,56,46,77,5,1,3,blue
54,58,82,2,8,2,76,58,83,0,0,2,red
65,50,83,0,7,1,56,50,80,9,5,3,red
52,50,79,50,13,6,50,46,76,47,16,7,blue
63,58,80,0,0,1,63,58,85,0,0,1,blue
78,50,78,21,29,6,78,50,82,21,30,8,blue
65,70,86,9,13,3,71,70,85,7,19,9,blue
63,64,83,3,20,5,78,64,84,10,6,2,blue
67,54,80,1,1,3,76,54,79,43,7,5,red
80,50,80,7,9,4,65,50,78,14,9,5,no contest
69,70,89,2,16,6,69,70,87,46,21,5,blue
63,70,89,7,6,4,71,70,85,5,1,4,blue
93,100,83,2,14,7,84,86,90,23,18,5,red
69,77,86,0,1,2,65,77,89,20,12,4,red
73,64,83,0,0,1,63,64,85,54,17,5,red
67,64,82,14,11,7,78,64,85,14,30,6,blue
76,58,80,14,3,3,71,58,84,32,1,4,red
69,64,85,0,10,2,60,70,85,11,6,3,blue
71,46,76,39,18,4,69,50,75,5,54,4,red
63,64,84,66,27,9,71,64,86,33,57,13,red
65,64,87,1,3,2,67,64,85,0,3,2,red
60,54,85,7,8,5,58,58,85,19,7,5,red
67,50,80,2,10,2,71,50,79,15,6,4,red
65,54,84,10,10,7,76,58,80,0,0,1,red
56,100,90,17,3,3,63,86,89,0,2,2,no contest
58,77,86,0,0,2,60,70,86,23,6,3,red
60,54,85,2,9,4,69,54,83,89,29,7,red
63,58,83,1,31,7,71,58,80,26,15,9,red
56,54,83,55,19,6,69,54,80,35,20,5,blue
84,70,85,42,18,6,80,70,84,27,13,3,blue
71,58,82,2,18,5,71,58,80,26,15,9,red
60,58,80,22,16,7,69,58,80,0,3,3,blue
58,70,85,11,1,3,65,70,86,9,13,3,red
71,64,82,20,41,6,71,64,86,33,57,13,red
50,46,78,18,33,7,78,54,82,25,6,5,blue
89,64,83,0,11,2,76,64,86,23,16,5,red
65,64,85,23,12,4,54,70,82,15,19,9,red
63,64,84,4,5,2,60,64,83,0,13,6,red
65,70,87,0,19,9,80,70,86,4,0,2,blue
56,54,83,0,1,2,54,54,79,0,15,3,red
67,58,83,3,6,3,63,58,82,6,11,6,blue
65,46,77,31,17,3,56,50,75,11,47,8,red
63,64,86,76,13,6,69,64,86,0,7,3,blue
78,70,89,34,5,7,76,70,86,23,15,7,red
63,50,82,2,0,2,56,50,77,35,3,5,blue
73,50,78,8,47,3,54,50,80,14,13,5,red
80,70,84,27,13,3,82,70,86,4,22,8,blue
86,77,87,0,10,2,71,77,87,68,15,6,red
43,58,84,0,0,1,50,58,80,0,0,1,red
60,70,85,11,6,3,56,64,83,26,4,3,draw
65,50,78,9,22,4,73,46,79,15,33,6,red
58,58,84,14,1,2,67,64,85,0,3,2,blue
58,58,83,40,39,11,69,58,82,5,15,4,blue
67,43,76,32,7,6,73,43,77,26,19,3,red
73,70,85,6,13,4,65,70,87,11,15,8,red
69,54,79,23,2,4,76,54,79,43,7,5,blue
63,70,82,8,5,2,65,70,87,11,15,8,blue
54,64,85,13,16,7,73,64,84,22,1,2,red
65,64,84,2,24,8,63,64,89,91,28,12,blue
50,46,76,47,16,7,60,46,77,81,20,8,red
82,64,83,6,12,3,58,64,83,0,0,1,blue
58,64,90,2,13,4,54,64,84,6,18,8,red
60,58,82,5,9,2,60,58,82,80,24,7,red
65,54,79,37,4,6,71,50,79,47,13,5,blue
63,50,77,26,30,4,60,50,80,10,15,6,red
73,77,87,11,11,6,80,77,86,5,18,5,red
54,64,84,6,18,8,65,64,85,23,12,4,blue
71,77,87,68,15,6,71,77,87,11,12,7,red
67,58,84,7,46,9,65,58,83,7,21,4,blue
69,64,83,12,20,4,54,70,82,15,19,9,red
69,58,82,2,58,2,58,58,83,40,39,11,red
63,64,82,1,0,2,69,64,86,0,7,3,red
60,54,83,0,0,1,63,54,83,2,17,2,red
65,58,83,0,31,3,65,58,83,15,30,6,red
54,70,89,1,4,3,71,70,85,13,6,2,red
65,58,84,0,0,1,60,58,82,0,0,1,red
71,64,87,30,36,10,58,64,85,8,3,2,blue
67,94,89,5,9,3,56,90,89,61,4,5,blue
80,64,84,56,32,7,71,58,82,2,18,5,red
67,93,87,4,1,2,71,77,84,1,23,3,red
63,58,84,0,2,3,58,58,83,1,29,5,red
67,43,79,4,23,3,67,43,76,32,7,6,red
69,54,83,89,29,7,56,54,80,24,5,5,blue
73,58,83,5,10,4,86,58,82,1,4,2,blue
73,54,80,39,29,6,54,54,84,4,52,10,red
71,77,87,68,15,6,69,77,87,33,18,3,blue
58,58,87,0,10,2,60,58,80,22,16,7,red
63,50,80,17,22,5,58,50,80,11,13,4,red
63,58,84,0,2,3,73,64,85,17,14,5,red
52,54,84,38,30,4,60,54,85,7,8,5,blue
65,64,85,7,13,5,76,64,86,23,16,5,blue
58,77,89,2,26,4,63,77,87,0,4,3,blue
60,54,80,33,10,3,69,54,80,35,20,5,red
78,98,91,21,26,6,84,93,87,4,0,2,blue
65,54,79,37,4,6,56,54,80,24,5,5,red
63,77,87,0,4,3,63,70,83,18,4,4,blue
84,64,82,2,13,2,100,70,84,7,10,7,red
54,77,89,2,1,2,58,77,86,0,0,2,blue
69,43,76,2,7,3,50,43,77,2,10,2,blue
56,64,86,18,13,6,78,64,86,12,4,3,blue
71,64,86,17,26,4,84,64,86,88,7,6,red
71,77,86,15,3,7,95,77,89,3,0,3,blue
54,64,83,0,37,3,76,64,85,3,27,9,red
60,54,85,2,9,4,71,54,82,33,16,4,blue
71,70,86,44,15,8,56,70,85,8,18,8,red
82,64,84,4,17,4,84,70,85,12,0,3,blue
82,50,79,5,17,3,69,50,79,4,20,5,blue
65,64,84,2,24,8,73,64,79,12,26,5,blue
60,58,80,22,16,7,69,58,78,19,16,5,red
54,64,84,8,15,5,56,64,83,26,4,3,red
76,64,85,3,27,9,76,64,89,17,17,3,blue
58,64,90,2,13,4,54,64,84,1,5,2,blue
76,77,87,2,4,3,80,77,86,69,9,6,red
54,58,83,14,15,4,69,58,80,49,21,4,blue
65,70,87,11,15,8,73,70,85,85,25,7,red
54,46,78,1,6,3,69,46,76,100,28,8,red
73,43,76,4,0,2,69,43,76,2,7,3,red
76,58,80,15,2,3,67,58,84,37,4,5,red
71,50,78,2,6,2,80,50,79,12,23,4,red
73,58,83,4,7,5,71,64,86,33,57,13,red
80,70,85,5,20,3,71,77,87,68,15,6,red
54,70,89,1,4,3,65,77,87,15,5,5,red
73,58,83,0,3,1,47,58,82,43,11,7,red
82,54,82,0,28,2,52,54,84,33,26,6,red
58,70,86,14,8,6,65,70,90,7,11,3,blue
63,70,86,2,2,2,50,70,84,1,16,2,blue
65,77,87,15,5,5,56,70,85,8,18,8,red
50,46,78,18,33,7,76,46,75,4,32,5,blue
65,64,85,7,13,5,69,64,84,46,11,4,blue
63,64,85,22,15,6,80,64,86,4,25,5,blue
63,64,83,3,20,5,63,58,83,1,31,7,red
69,46,76,100,28,8,65,46,75,69,68,7,red
60,54,84,12,19,4,58,54,83,44,31,7,red
54,64,85,13,16,7,76,64,89,17,17,3,blue
65,54,82,30,41,7,54,54,84,4,52,10,red
54,64,83,0,37,3,69,64,89,0,18,4,blue
69,64,87,0,0,1,54,64,87,0,3,3,red
78,77,87,89,8,9,86,77,87,0,10,2,red
80,50,80,7,9,4,63,50,80,17,22,5,red
63,64,84,66,27,9,73,58,83,0,2,4,blue
54,58,82,3,69,3,67,58,80,4,72,6,blue
63,70,89,7,6,4,78,70,85,15,15,8,red
82,54,79,8,6,3,60,58,82,3,20,8,red
80,70,85,24,23,7,63,70,86,30,20,6,red
56,100,90,17,3,3,65,94,90,0,9,4,red
80,50,78,62,22,8,76,54,78,59,26,6,red
67,77,89,35,15,7,80,77,86,0,9,4,red
63,64,84,4,5,2,63,64,85,1,0,2,red
67,54,84,37,12,8,69,54,85,0,10,3,blue
65,70,85,0,1,1,63,64,84,0,6,3,blue
60,64,84,5,8,5,54,64,84,6,18,8,blue
71,77,86,15,3,7,71,77,83,9,7,7,red
60,46,77,2,24,4,65,46,77,31,17,3,blue
54,58,83,14,15,4,73,58,83,4,7,5,red
58,58,83,19,5,5,47,58,82,43,11,7,red
52,46,76,5,25,2,71,46,78,17,23,7,blue
73,93,85,10,16,7,84,90,87,10,0,2,blue
73,43,76,4,0,2,60,43,78,4,17,4,red
71,50,78,21,5,3,65,50,78,41,26,7,red
58,64,86,9,19,3,54,64,85,13,16,7,red
67,43,77,3,7,3,76,43,77,50,9,5,red
67,64,85,0,44,4,65,58,83,12,27,6,blue
69,64,89,0,18,4,65,64,83,8,15,5,red
100,70,84,7,10,7,82,70,86,4,22,8,red
52,58,82,70,31,9,67,58,83,2,10,2,blue
73,58,82,16,37,3,67,58,84,7,46,9,red
67,54,80,28,4,4,65,50,79,17,5,3,blue
56,54,83,55,19,6,60,54,80,0,18,4,blue
67,58,84,7,46,9,65,54,83,4,32,6,blue
73,70,87,19,0,4,71,64,83,25,2,5,red
63,58,86,21,6,3,52,58,83,14,10,3,red
71,64,87,0,14,5,73,70,85,6,13,4,blue
56,54,83,55,19,6,52,54,84,33,26,6,red
67,54,78,23,20,4,76,54,78,59,26,6,red
65,54,82,45,8,5,56,54,84,1,21,2,red
73,58,83,4,7,5,65,58,80,65,21,6,blue
60,50,79,28,27,7,65,50,78,41,26,7,blue
73,58,83,17,0,2,80,58,86,0,11,2,blue
71,54,82,9,37,3,56,54,80,14,7,4,red
54,64,83,0,37,3,63,64,86,0,8,3,blue
52,50,80,1,3,2,52,54,84,33,26,6,red
65,54,82,30,41,7,76,54,78,59,26,6,red
73,64,85,5,23,7,73,64,82,12,23,7,draw
65,100,87,30,13,5,84,100,90,13,1,4,blue
63,70,84,0,11,3,69,70,85,10,22,8,red
76,54,80,10,7,5,69,54,85,0,10,3,red
56,64,85,0,6,2,52,63,82,0,0,1,blue
69,64,85,13,18,7,78,64,85,14,30,6,red
76,54,78,14,6,2,56,58,85,0,0,1,red
67,54,84,37,12,8,69,54,83,89,29,7,red
58,64,86,9,3,3,78,64,85,44,22,5,red
63,64,83,13,10,3,63,64,86,0,8,3,red
69,54,82,0,21,3,47,50,79,1,7,2,blue
58,58,83,0,37,1,69,58,80,15,22,3,blue
76,54,80,1,31,5,65,50,79,2,8,6,blue
71,70,85,5,1,4,60,64,87,7,1,3,blue
58,58,86,0,6,2,78,58,82,13,6,2,red
69,50,78,8,11,4,78,50,78,30,19,7,red
80,77,86,0,9,4,82,77,86,0,0,1,red
65,50,72,28,13,2,73,50,82,12,12,6,red
71,70,89,1,20,3,60,70,86,42,41,6,red
69,58,80,15,22,3,69,58,84,11,4,4,blue
73,58,83,0,2,4,69,58,82,0,7,3,blue
93,100,83,2,14,7,84,100,89,0,0,1,no contest
63,50,77,26,30,4,67,50,77,1,19,3,blue
82,70,86,4,22,8,69,70,89,2,16,6,red
65,58,85,21,23,5,60,58,83,0,0,3,red
67,77,89,35,15,7,95,77,89,3,0,3,blue
82,54,79,72,14,6,82,54,79,8,6,3,blue
71,70,85,7,19,9,60,70,86,42,41,6,blue
71,70,89,1,20,3,60,70,92,2,10,4,blue
71,77,87,11,15,5,82,70,86,4,18,5,red
67,54,78,0,42,2,78,50,82,21,30,8,red
52,50,78,8,13,4,58,50,80,11,13,4,red
69,64,85,15,16,7,65,64,85,7,13,5,red
65,43,73,11,21,4,60,43,78,4,17,4,red
58,54,82,0,2,3,82,54,79,72,14,6,red
58,50,79,53,29,7,63,50,83,14,3,4,blue
56,46,77,5,1,3,60,46,78,1,0,2,blue
60,54,85,7,8,5,76,54,83,0,0,1,blue
54,70,82,15,19,9,71,70,82,89,14,7,blue
60,70,86,8,23,2,69,70,86,23,28,8,red
71,58,80,20,6,6,71,58,84,11,24,8,red
73,64,85,1,20,2,65,64,85,14,10,4,red
86,99,85,44,9,8,86,90,89,0,0,2,blue
67,46,78,34,12,4,76,46,75,4,32,5,red
73,50,78,1,22,3,73,50,78,0,0,1,blue
82,77,89,0,10,2,58,77,89,2,26,4,red
60,50,79,28,27,7,71,50,77,2,22,6,blue
78,64,85,7,8,2,73,64,79,12,26,5,blue
65,54,84,10,10,7,63,54,79,2,14,5,red
69,46,78,10,19,5,82,50,78,67,24,8,blue
82,58,84,25,12,3,63,58,83,0,0,2,red
63,64,83,13,10,3,69,64,84,46,11,4,red
65,58,80,0,8,2,67,54,84,37,12,8,red
73,70,86,5,13,4,65,70,87,11,15,8,red
67,64,85,0,44,4,69,58,82,13,20,6,red
63,100,100,1,18,5,80,99,90,1,8,5,blue
60,70,86,42,41,6,69,64,86,18,7,3,blue
69,43,75,7,2,2,69,54,82,0,21,3,red
76,54,80,1,31,5,60,50,79,28,27,7,blue
69,46,76,100,28,8,73,50,77,28,4,5,blue
65,58,83,0,31,3,63,58,86,21,6,3,red
60,43,78,2,11,2,76,43,77,50,9,5,red
67,64,84,0,13,2,67,64,85,13,6,3,blue
71,77,87,11,12,7,82,77,84,35,21,7,red
65,58,85,21,23,5,67,58,80,4,72,6,red
67,98,89,0,1,2,80,99,89,10,5,5,red
73,58,83,5,10,4,47,58,82,43,11,7,red
71,58,82,51,30,5,69,58,82,46,59,2,blue
69,64,84,0,18,1,67,64,87,8,25,4,blue
82,50,78,67,24,8,76,50,80,11,6,6,blue
76,70,86,23,15,7,82,70,86,4,22,8,red
67,58,82,41,12,7,65,58,80,65,21,6,red
73,54,78,0,0,1,71,54,84,8,8,2,red
60,58,83,0,0,3,76,58,80,0,0,1,blue
56,54,80,7,9,4,63,54,79,8,6,4,blue
65,50,78,14,9,5,65,54,79,37,4,6,blue
76,64,87,6,4,6,73,64,82,12,23,7,red
82,100,89,0,6,4,80,90,87,18,5,4,blue
78,46,79,19,15,4,50,46,76,47,16,7,red
71,70,85,7,19,9,69,70,85,10,22,8,red
52,54,83,12,28,4,60,54,83,10,28,8,blue
76,58,78,67,21,5,65,58,83,22,13,5,blue
73,90,90,43,11,7,84,86,90,23,18,5,blue
65,70,87,0,19,9,65,70,86,9,13,3,blue
60,43,78,4,17,4,47,43,76,0,4,2,red
60,50,80,10,15,6,65,50,78,41,26,7,blue
52,58,82,70,31,9,47,58,82,43,11,7,blue
58,46,77,4,10,4,50,46,79,1,31,2,red
65,54,84,10,10,7,76,54,82,1,4,2,blue
56,70,85,8,18,8,63,70,86,30,20,6,blue
54,43,75,2,3,3,69,43,75,7,2,2,blue
54,64,89,0,18,3,56,64,86,18,13,6,red
54,50,80,8,22,2,63,50,80,8,14,3,blue
67,54,80,24,15,7,73,54,80,1,4,3,blue
69,64,89,32,21,6,80,54,80,39,9,4,blue
71,50,77,2,22,6,65,50,79,2,8,6,red
80,70,85,24,23,7,54,70,82,15,19,9,red
47,43,77,1,19,2,63,43,79,2,25,5,red
65,46,76,44,43,6,69,46,76,19,34,5,red
73,93,85,10,16,7,65,100,87,30,13,5,red
67,46,78,34,12,4,71,46,78,31,9,3,blue
71,58,80,7,9,3,56,54,80,14,7,4,red
56,58,79,4,16,2,63,64,89,91,28,12,red
63,46,78,2,9,4,80,46,76,13,20,6,red
65,54,82,14,9,4,67,54,84,37,12,8,red
65,50,78,41,26,7,76,54,80,1,31,5,blue
69,77,90,0,0,1,60,70,84,0,0,1,red
56,54,84,1,21,2,63,54,82,5,24,4,blue
58,50,78,14,21,2,78,50,78,21,29,6,red
71,50,76,14,0,2,54,50,79,0,27,6,red
65,64,84,2,24,8,80,70,84,0,4,3,red
54,50,82,3,18,3,54,50,79,0,27,6,red
78,90,86,1,42,2,78,98,91,21,26,6,red
84,50,84,0,0,1,65,50,79,10,0,2,red
84,64,86,88,7,6,58,64,85,9,30,5,red
69,64,85,13,18,7,63,64,89,91,28,12,red
82,58,80,0,6,4,60,54,84,12,19,4,red
69,58,82,13,20,6,65,54,83,4,32,6,blue
65,58,87,21,23,5,67,58,80,33,18,8,blue
58,50,79,53,29,7,71,50,79,9,7,6,blue
65,70,87,0,19,9,69,70,86,23,28,8,blue
65,64,84,2,21,2,73,64,85,17,14,5,red
65,58,80,65,21,6,71,64,82,20,41,6,red
71,77,87,11,12,7,65,77,91,9,14,4,blue
80,50,78,62,22,8,69,50,80,26,25,4,red
71,64,86,33,57,13,69,64,83,12,20,4,blue
73,54,80,39,29,6,67,54,78,23,20,4,red
69,46,76,100,28,8,60,46,77,81,20,8,blue
80,90,87,18,5,4,73,90,90,43,11,7,red
80,70,85,24,23,7,76,70,87,1,1,2,blue
82,64,84,4,17,4,71,70,86,44,15,8,red
65,58,80,65,21,6,65,58,84,53,22,6,blue
63,64,82,22,8,4,76,64,87,6,4,6,red
73,50,82,12,12,6,67,52,80,0,1,2,red
65,58,89,3,17,6,58,58,83,40,39,11,red
71,46,80,0,4,2,50,46,76,47,16,7,red
56,58,83,29,9,4,45,58,85,13,7,5,red
58,50,79,0,0,1,54,50,79,0,0,1,red
54,54,83,0,26,2,71,54,80,9,24,6,red
63,50,80,8,14,3,60,50,79,28,27,7,red
69,64,87,4,16,4,76,64,84,1,29,6,red
56,58,83,29,9,4,60,64,83,0,13,6,red
67,58,84,1,10,3,56,70,90,0,0,2,blue
73,58,83,4,7,5,80,58,85,22,14,5,red
73,95,93,8,17,7,73,90,86,7,2,2,red
86,50,76,0,0,1,63,50,79,2,0,2,no contest
78,58,82,13,6,2,80,58,79,6,3,3,red
65,70,87,11,15,8,76,70,86,23,15,7,red
80,64,84,56,32,7,71,64,86,33,57,13,red
71,94,91,0,10,4,84,100,90,13,1,4,red
60,46,77,81,20,8,71,46,76,39,18,4,blue
73,77,87,11,11,6,78,77,87,89,8,9,red
65,58,87,21,23,5,69,64,84,29,50,10,red
69,64,84,29,50,10,67,58,80,33,18,8,blue
60,64,85,23,23,6,76,64,83,18,8,4,red
58,54,82,0,6,2,67,54,80,24,15,7,red
73,64,85,1,20,2,60,64,85,23,23,6,red
63,64,83,0,16,1,67,58,82,41,12,7,red
71,77,86,15,3,7,76,77,84,0,6,3,red
69,58,89,0,0,1,76,54,80,10,7,5,red
58,94,90,0,12,2,71,94,91,0,10,4,red
63,58,83,32,12,6,58,58,84,52,12,2,blue
52,50,79,50,13,6,71,46,78,17,23,7,red
60,54,84,13,7,3,71,54,79,10,11,5,no contest
54,50,82,3,18,3,58,50,78,6,3,5,draw
67,58,84,8,13,4,47,58,82,43,11,7,blue
78,58,83,6,2,3,67,58,82,41,12,7,red
69,70,86,23,28,8,63,70,84,0,11,3,blue
63,64,82,22,8,4,86,64,84,8,2,4,blue
69,64,84,29,50,10,67,64,82,14,11,7,blue
